title,author,isbn,goodreads_id,goodreads_shelf,status,owned,rating,page_count,published_year,goodreads_date_read,publisher
FIVE DAYS THAT SHOCKED THE WORLD eyewitness accounts from Europe at the end of World War II (Nicholas Best World War II History),Nicholas Best,,217226525,read,read,true,3,314,2024,2026/06/22,"Lume Books WW2 Non-Fiction History, A Joffe Books Company"
Remarkably Bright Creatures,Shelby Van Pelt,9780063204157,58733693,read,read,true,4,360,2022,2026/06/17,Ecco
The Mad Wife,Meagan Church,9781464236747,223665360,to-read,unread,true,,352,2025,,Sourcebooks Landmark
"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,,42975172,to-read,unread,true,,422,2019,,Nan A. Talese
Yesteryear,Caro Claire Burke,,238226942,to-buy,wishlist,false,,400,2026,,Knopf
Hiroshima,John Hersey,9780679721031,27323,currently-reading,reading,true,,152,1989,,Vintage
All the Ways to Go,Jessie Janowitz,9781464221088,220481356,to-buy,wishlist,false,,368,2026,,Sourcebooks Young Readers
The Happiest Man on Earth,Eddie Jaku,9781760980085,53239311,read,read,true,5,200,2021,2026/05/24,Macmillan Australia
In Five Years,Rebecca Serle,9781982137465,51865702,currently-reading,reading,true,,266,2020,,Atria Books
Beach Read,Emily Henry,9781984806734,52867387,read,read,true,4,358,2020,2026/05/23,Berkley
"Summer Frost (Forward Collection, #2)",Blake Crouch,9781542043632,49676965,read,read,true,3,85,2019,,Amazon Original Stories
"The Last Conversation (Forward Collection, #5)",Paul Tremblay,9781542005319,49674113,read,read,true,3,56,2019,2026/05/21,Amazon Original Stories
"Randomize (Forward Collection, #6)",Andy Weir,9781542044257,49661162,read,read,true,3,28,2019,2026/05/21,Amazon Original Stories
"Emergency Skin (Forward Collection, #3)",N.K. Jemisin,9781542093576,49669410,read,read,true,3,38,2019,2026/05/21,Amazon Original Stories
"Ark (Forward Collection, #1)",Veronica Roth,9781542092067,49680556,read,read,true,4,45,2019,2026/05/16,Amazon Original Stories
"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,9781837901319,62848145,read,read,true,4,311,2023,2026/05/18,Bookouture
"The Housemaid is Watching (The Housemaid, #3)",Freida McFadden,9781464223310,199235727,read,read,true,3,400,2024,2026/02/14,Sourcebooks
"College Girl, Missing: The True Story of How a Young Woman Disappeared in Plain Sight",Shawn Cohen,9781728273006,199407784,read,read,true,4,251,2024,2026/05/14,Sourcebooks
"Uncharted (On the Island, #1.5)",Tracey Garvis Graves,9781507808689,25459679,read,read,true,4,125,2015,2026/05/11,CreateSpace Independent Publishing Platform
"On the Island (On the Island, #1)",Tracey Garvis Graves,9781405910217,15505346,read,read,true,5,328,2012,2026/05/10,Penguin
My Dark Vanessa,Kate Elizabeth Russell,9780062941503,44890081,to-buy,wishlist,false,,373,2020,,William Morrow
Woman Down,Colleen Hoover,9781542025621,241458703,read,read,true,4,312,2026,2026/05/05,Montlake
The Color Purple,Alice Walker,9780143135692,52892857,to-buy,wishlist,false,,287,2019,,Penguin Books
Lessons in Chemistry,Bonnie Garmus,,58065033,to-buy,wishlist,false,,390,2022,,Doubleday Books
"Iron Flame (The Empyrean, #2)",Rebecca Yarros,9781649374172,90202302,to-buy,wishlist,false,,623,2023,,Entangled: Red Tower Books
A Story of Yesterday,Sergio Cobo,,58913358,to-buy,wishlist,false,,70,2021,,
Reparenting the Inner Child: The New Science of Our Oldest Wounds and How to Heal Them,Nicole LePera,9781250393135,231127227,to-buy,wishlist,false,,384,2026,,Flatiron Books
Glass Girls,Danie Shokoohi,9781638931904,217078787,to-buy,wishlist,false,,336,2025,,Gillian Flynn Books
"Strange Houses (Strange Houses, #1)",Uketsu,9780063433151,218671839,to-buy,wishlist,false,,203,2025,,HarperVia
When You Wish Upon a Star,Elizabeth Lim,9781368077545,61769942,to-buy,wishlist,false,,480,2023,,Random House/Disney
The Tell: A Memoir,Amy   Griffin,9780593731208,214537759,to-buy,wishlist,false,,288,2025,,The Dial Press
"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,9781250391230,223436601,to-buy,wishlist,false,,382,2025,,Flatiron Books
"The Perfect Divorce (Perfect, #2)",Jeneva Rose,9798874620950,219234429,to-buy,wishlist,false,,335,2025,,Blackstone Publishing
"The Way I Used to Be (The Way I Used to Be, #1)",Amber   Smith,,23546634,to-buy,wishlist,false,,385,2016,,Margaret K. McElderry Books
Sense and Sensibility,Jane Austen,9780141439662,14935,to-buy,wishlist,false,,409,2003,,Penguin Books
Emma,Jane Austen,9780141439587,6969,to-buy,wishlist,false,,474,2003,,Penguin Books
Persuasion,Jane Austen,9780192802637,2156,to-buy,wishlist,false,,249,2004,,Oxford University Press
Mansfield Park,Jane Austen,,45032,to-buy,wishlist,false,,488,2003,,Penguin Books
Oliver Twist,Charles Dickens,,18254,to-buy,wishlist,false,,608,2003,,Penguin Books
Coraline,Neil Gaiman,9780061139376,17061,to-buy,wishlist,false,,208,2006,,William Morrow Paperbacks
"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,,36336078,to-buy,wishlist,false,,248,2017,,Atlantic Books
"My Friend, Weezer: A Visual Time Capsule of One of Rock's Most Iconic Bands",Sean                Murphy,9781964264288,234383029,to-buy,wishlist,false,,258,2025,,Page & Vine: Voir
"The Everest Mystery: Sandy Irvine, George Mallory, and the Truth Still Buried on Everest",Julie Summers,9781250460820,244947595,to-buy,wishlist,false,,384,2026,,St. Martin's Press
All We Say: The Battle for American Identity: A History in 15 Speeches,Ben  Rhodes,9780593595121,240687833,to-buy,wishlist,false,,432,2026,,Random House
Hard Times,Jeff Boyd,9781250348456,231127170,to-buy,wishlist,false,,352,2026,,Flatiron Books
"Always Have, Always Will: A Big Five Novel (The Big Five)",Katie    West,9798288668128,239717908,to-buy,wishlist,false,,329,2025,,Independently published
Lost in Yellowstone: A National Park Mystery,Nicole Maggi,9781608096619,240852087,to-buy,wishlist,false,,360,2026,,Oceanview Publishing
Seek Immediate Shelter,Vincent  Yu,9781250410122,240019815,to-buy,wishlist,false,,304,2026,,Flatiron Books
The Glassmaker’s Son: Looking for the World My Father Left Behind in Nazi Germany (Holocaust Survivor True Stories),Peter  Kupfer,9789493276642,63317626,to-buy,wishlist,false,,272,2022,,Amsterdam Publishers
Footnote to History: From Hungary to America. The Memoir of a Holocaust Survivor (Holocaust Survivor Memoirs World War II),Andrew Laszlo,9789493322868,221872440,to-buy,wishlist,false,,338,2025,,Amsterdam Publishers
Sabine’s Odyssey: A Hidden Child and Her Dutch Rescuers,Agnes Schipper,9789493231962,61049918,to-buy,wishlist,false,,230,2022,,Amsterdam Publishers
Dear Debbie,Freida McFadden,9781464249624,238365535,to-buy,wishlist,false,,327,2026,,Poisoned Pen Press
"The Impossible Fortune (Thursday Murder Club, #5)",Richard Osman,9780593653258,222292420,to-buy,wishlist,false,,368,2025,,Pamela Dorman Books
The Intruder,Freida McFadden,9781464260919,231819058,to-buy,wishlist,false,,279,2025,,Poisoned Pen Press
The Boyfriend,Freida McFadden,9781728296227,208503280,to-buy,wishlist,false,,368,2024,,Poisoned Pen Press
The Only One Left,Riley Sager,9780593183229,62703226,to-buy,wishlist,false,,383,2023,,Dutton
Local Woman Missing,Mary Kubica,9780778311669,57361474,to-buy,wishlist,false,,356,2021,,Park Row
The Guest List,Lucy Foley,,52656911,to-buy,wishlist,false,,319,2020,,William Morrow
"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,,46000520,to-buy,wishlist,false,,382,2020,,Penguin Books
Then She Was Gone,Lisa Jewell,9781501154645,35297426,to-buy,wishlist,false,,356,2018,,Atria Books
"Big Little Lies (Big Little Lies, #1)",Liane Moriarty,9780399587191,33516773,to-buy,wishlist,false,,460,2017,,Berkley
Gone Girl,Gillian Flynn,9780307588371,19288043,to-buy,wishlist,false,,415,2014,,Ballantine Books
The Girl on the Train,Paula Hawkins,9781594633669,22557272,to-buy,wishlist,false,,336,2015,,Riverhead Books
The Woman in Cabin 10 (Lo Blacklock #1),Ruth Ware,9781668221877,233770059,to-buy,wishlist,false,,400,2025,,Simon & Schuster
