title,author,genre,subgenre,isbn,page_count,rating,status,owned,synopsis,date_added
102 Minutes: The Untold Story Of The Fight To Survive Inside The Twin Towers,"Dwyer, Jim, Flynn, Kevin",History,,9780805080322,,,unread,true,A dramatic account of the survival efforts of thousands of people who were inside the World Trade Center on the morning of September 11 draws on hundreds of ...,2024-05-05
11/22/63,Stephen King,Horror,JFK,9781451627299,842,,unread,true,"Dallas, 11/22/63: Three shots ring out. President John F. Kennedy is dead.

Life can turn on a dime â€” or stumble into the extraordinary, as it does for Jake Epping, a high school English teacher in a Maine town. While grading essays by his GED students, Jake reads a gruesome, enthralling peace, penned by janitor Harry Dunning: fifty years ago, Harry somehow survived his fatherâ€™s sledgehammer slaughter of his entire family. Jake is blown awayâ€¦but an even more bizarre secret comes to light w",2025-12-20
1812: The War That Forged a Nation,Walter R. Borneman,History,War Of 1812,9780060531133,349,,unread,true,"The war of 1812 would either make America a global power sweeping all the way to the Pacific--or break it into small pieces bound to mighty England. It was a second revolution of sorts to prove to the British that America had to be taken seriously. The principal actors in this drama were James and Dolley Madison, and Andrew and Rachel Jackson. Their courage and determination would shape Americaâ€™s destiny.",2025-06-30
1984,George Orwell,Fiction,Education,9780451524935,287,,unread,true,"1984 has come and gone, but Orwellâ€™s prophetic, nightmarish vision in 1949 of the world we were becoming is timelier than ever. â€˜1984â€™ is still the great modern classic of â€Negative Utopiaâ€--a startlingly original and haunting novel that creates an imaginary world that is completely convincing, from the first sentence to the last four words. No one can deny this novelâ€™s power, its hold on the imaginations of whole generations, or the power of its admonitions--a power that seems to gr",2024-05-05
31 Prayers for My Future Wife,"Smith, Jennifer, Smith, Aaron",,,9780986366765,176,,unread,true,,2024-10-25
3: The Legend of Tom Sawyerâ€™s Island,Nancy Temple,,,9780974902647,433,,unread,true,"HIDDEN MICKEY 3: Wolf! The Legend of Tom Sawyerâ€™s Island Volume 3 in a series of action-adventure mysteries about Walt Disney and Disneyland written for Adults, Teens, & Tweens (age 10 & up).Flesch-Kincaid Grade 5.0 - Flesch Reading Ease 81.4WOULD YOU TO BREECH THE FABRIC OF TIME TO SAVE WALTâ€™S LEGACY?How far would you be willing to go to save your life--as well as the potential future of your boss, Walt Disney? Would you put your life in the hands of a mysterious security guard named Wolf w",2025-08-13
61 Hours,Lee Child,Action,,9780440243694,494,,unread,true,"A bus crashes in a savage snowstorm and lands Jack Reacher in the middle of a deadly confrontation. In nearby Bolton, South Dakota, one brave woman is standing up for justice in a small town threatened by sinister forces. If sheâ€™s going to live long enough to testify, sheâ€™ll need help. Because a killer is coming to Bolton, a coldly proficient assassin who never misses.
 
Reacherâ€™s original plan was to keep on moving. But the next 61 hours will change everything. The secrets are deadlier an",2024-10-25
A Better Share,Morgan Cutlip,,,,,,unread,true,,2025-06-30
A Child Called It,Dave Pelzer,Autobiography,Non-Fiction,9781558743663,184,,unread,true,"This book chronicles the unforgettable account of one of the most severe child abuse cases in California history. It is the story of Dave Pelzer, who was brutally beaten and starved by his emotionally unstable, alcoholic mother: a mother who played tortuous, unpredictable gamesâ€”games that left him nearly dead. He had to learn how to play his motherâ€™s games in order to survive because she no longer considered him a son, but a slave; and no longer a boy, but an â€it.â€ Daveâ€™s bed was an ol",2025-06-30
A Farewell to Arms,Ernest Hemingway,Drama,Military Fiction,9780684801469,332,,unread,true,"In 1918 Ernest Hemingway went to war, to the â€™war to end all warsâ€™. He volunteered for ambulance service in Italy, was wounded and twice decorated. Out of his experiences came his early masterpiece, A Farewell to Arms.

In an unforgettable depiction of war, Hemingway recreates the fear, the comradeship, the courage of his young American volunteers and the men and women he encounters along the way with conviction and brutal honesty. A love story of immense drama and uncompromising passion, A ",2024-10-25
A History Of Ancient Rome In 100 Lives,Philip Matyszak,,,,,,unread,true,,2025-06-30
A History Of The World In 100 Objects,Neil MacGregor,Education,,9780241951774,608,,unread,true,"A golden galleon, a stone age tool, a credit card . . . every object tells a story. This acclaimed history tells the story of the world, and our place in it, in an entirely new way, through 100 things we have either admired and preserved, or used, broken and thrown away. It will take you on a journey back in time and across the globe, to see how we humans have shaped our world, and been shaped by it, over the past two million years. â€™This wonderful book transports us to every corner of the glo",2024-09-23
A Little Life,Hanya Yanagihara,Drama,,9780804172707,832,,unread,true,"Moving to New York to pursue creative ambitions, four former classmates share decades marked by love, loss, addiction and haunting elements from a brutal childhood. By the author of The People in the Trees.",2024-10-25
A Random Walk Down Wall Street,Burton G. Malkiel,,,9781324035435,,,unread,true,"â€A must-read for any investor.â€--Browser One of the â€few great investment booksâ€ (Andrew Tobias) ever written, with 2 million copies in print.",2025-07-01
A Ring Within A Field,C.S. McKinney,,,,,,unread,true,,2024-05-05
A Thousand Boy Kisses,Tillie Cole,Romance,,9781530496198,347,,unread,true,"One kiss lasts a moment. But a thousand kisses can last a lifetime. One boy. One girl. A bond that is forged in an instant and cherished for a decade. A bond that neither time nor distance can break. A bond that will last forever. Or so they believe. 

When seventeen-year-old Rune Kristiansen returns from his native Norway to the sleepy town of Blossom Grove, Georgia, where he befriended Poppy Litchfield as a child, he has just one thing on his mind. Why did the girl who was one half of his soul",2024-10-25
A Year Down Yonder,Richard Peck,Historical Fiction,,9780142300701,130,,unread,true,,2025-06-30
Adult Children of Emotionally Immature Parents,Lindsay C. Gibson,Psychology,mental illness,9781626251700,216,,unread,true,"What happens when children are more mature than their parents? Growing up with an emotionally unavailable, immature, or selfish parent is painful, but rarely discussed. In this breakthrough book, clinical psychologist Lindsay C. Gibson exposes an often overlooked, yet extremely common syndrome that shapes the lives of so many people. Gibson also provides powerful skills to help the adult children of self-centered parents gain the insight they need to move on from feelings of loneliness and aband",2025-06-30
Advice That Sticks,Moira Somers,,,9781788600149,218,,unread,true,"What makes it so hard for people to do the right things with their money? Why do they frequently ignore sound financial advice? Grounded in the psychology of money and the science of non-adherence, this book equips financial professionals to deliver their advice more effectively.",2024-11-25
After Auschwitz,Eva Schloss,,,9781444760682,326,,unread,true,"The author recounts her life before and after World War II, describing her quest to locate her father and her brother after her liberation from Auschwitz, how her life became entwined with Anne Frankâ€™s, and her struggle to live with herself after the war.",2025-05-12
"Alchemist, The",Paulo Coelho,Adventure,Classic Lit.,9780062315007,179,,unread,true,"25th anniversary edition. 

A special 25th anniversary edition of the extraordinary international bestseller, including a new Foreword by Paulo Coelho.

Combining magic, mysticism, wisdom and wonder into an inspiring tale of self-discovery, The Alchemist has become a modern classic, selling millions of copies around the world and transforming the lives of countless readers across generations.

Paulo Coelhoâ€™s masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearn",2025-06-30
All Quiet on the Western Front,Erich Maria Remarque,,,9780553064063,245,,unread,true,,2025-06-30
All Your Perfects,Colleen Hoover,Romance,Box 3,9781501193323,305,,unread,true,"Colleen Hoover delivers a tour de force novel about a troubled marriage and the one old forgotten promise that might be able to save it.
Quinn and Grahamâ€™s perfect love is threatened by their imperfect marriage. The memories, mistakes, and secrets that they have built up over the years are now tearing them apart. The one thing that could save them might also be the very thing that pushes their marriage beyond the point of repair.
All Your Perfects is a profound novel about a damaged couple who",2024-10-25
All the Light We Cannot See,Anthony Doerr,Historical Fiction,World War II,9781501173219,544,,unread,true,"Marie-Laure has been blind since the age of six. Her father builds a perfect miniature of their Paris neighbourhood so she can memorize it by touch and navigate her way home. But when the Nazis invade, father and daughter flee with a dangerous secret. Werner is a German orphan, destined to labour in the same mine that claimed his fatherâ€™s life, until he discovers a knack for engineering. His talent wins him a place at a brutal military academy, but his way out of obscurity is built on sufferin",2025-12-20
American Psycho,Bret Easton Ellis,Literature,Slasher,9780679735779,399,,unread,true,"Patrick Bateman is twenty-six and works on Wall Street; he is handsome, charming and intelligent. He is also a psychopath. This bitter black comedy takes a hilarious and spine-chilling look at the preoccupations of modern American society, and in so doing exposes the darkness that lurks behind the mask.",2025-07-27
